18edc65ce4defa5aa7f9fae779d22655fd766771,taskName,taskNumber,taskURL,name,response,serial,declined,submitLatency,log_serial,trial_id,responseHandle,latency,stimuli,media,data,block3Cond,feedback,d
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,82,82,right,13,"[""Poor people""]","[""poverty6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,83,83,right,5485,"[""Good words""]","[""すばらしい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,84,84,left,884,"[""Middle people""]","[""rich3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,85,85,left,1481,"[""Bad words""]","[""失敗""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,86,86,right,1302,"[""Poor people""]","[""poverty2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,87,87,right,3218,"[""Good words""]","[""平和""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,88,88,left,3122,"[""Middle people""]","[""rich6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,89,89,right,2440,"[""Good words""]","[""栄光""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,90,90,right,1539,"[""Poor people""]","[""poverty4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,91,91,left,885,"[""Bad words""]","[""最悪""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,92,92,left,6298,"[""Middle people""]","[""rich2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,93,93,right,3313,"[""Good words""]","[""愛""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,94,94,right,1482,"[""Poor people""]","[""poverty1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,95,95,left,829,"[""Bad words""]","[""傷""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,96,96,left,1471,"[""Middle people""]","[""rich5.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,97,97,right,4961,"[""Good words""]","[""笑顔""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,98,98,right,1620,"[""Poor people""]","[""poverty5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,99,99,left,1749,"[""Bad words""]","[""苦しみ""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat2left,,,,,100,100,left,3052,"[""Middle people""]","[""rich6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att2right,,,,,101,101,right,1368,"[""Good words""]","[""すばらしい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,cat1right,,,,,102,102,right,1223,"[""Poor people""]","[""poverty2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
18edc65ce4defa5aa7f9fae779d22655fd766771,my-time,,,att1left,,,,,103,103,left,1799,"[""Bad words""]","[""最悪""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Middle people/Bad words,Poor people/Good words"",""block"":4}",,,
